okhttp-master	52	java.lang.NumberFormatException	Unchecked	Java	false	false
okhttp-master	53	javax.net.ssl.SSLPeerUnverifiedException	Checked	Java	false	false
okhttp-master	54	java.net.MalformedURLException	Checked	Java	false	false
okhttp-master	55	java.net.URISyntaxException	Checked	Java	false	false
okhttp-master	56	java.lang.Exception	Checked	Java	false	false
okhttp-master	57	java.net.UnknownHostException	Checked	Java	false	false
okhttp-master	58	java.lang.NumberFormatException	Unchecked	Java	false	false
okhttp-master	59	java.lang.IllegalArgumentException	Unchecked	Java	false	false
okhttp-master	60	java.security.GeneralSecurityException	Checked	Java	false	false
okhttp-master	61	java.security.GeneralSecurityException	Checked	Java	false	false
okhttp-master	62	java.io.IOException	Checked	Java	false	false
okhttp-master	63	java.lang.RuntimeException	Unchecked	Java	false	false
okhttp-master	64	java.lang.Exception	Checked	Java	false	true
okhttp-master	65	java.lang.AssertionError	Error	Java	false	false
okhttp-master	66	java.lang.RuntimeException	Unchecked	Java	false	false
okhttp-master	67	java.lang.Exception	Checked	Java	false	true
okhttp-master	68	java.lang.RuntimeException	Unchecked	Java	false	false
okhttp-master	69	java.lang.Exception	Checked	Java	false	true
okhttp-master	70	java.io.IOException	Checked	Java	false	false
okhttp-master	71	java.io.InterruptedIOException	Checked	Java	false	false
okhttp-master	72	java.lang.IllegalArgumentException	Unchecked	Java	false	false
okhttp-master	73	java.io.IOException	Checked	Java	false	false
okhttp-master	74	java.net.ProtocolException	Checked	Java	false	false
okhttp-master	75	java.lang.Exception	Checked	Java	false	false
okhttp-master	76	java.lang.Exception	Checked	Java	false	false
okhttp-master	77	java.io.IOException	Checked	Java	false	false
okhttp-master	78	java.security.GeneralSecurityException	Checked	Java	false	false
okhttp-master	79	java.lang.Exception	Checked	Java	false	true
okhttp-master	80	javax.net.ssl.SSLException	Checked	Java	false	false
okhttp-master	81	java.security.cert.CertificateParsingException	Checked	Java	false	false
okhttp-master	82	java.lang.InterruptedException	Checked	Java	false	true
okhttp-master	83	java.io.InterruptedIOException	Checked	Java	false	false
okhttp-master	84	java.io.IOException	Checked	Java	false	false
okhttp-master	85	java.lang.AssertionError	Error	Java	false	false
okhttp-master	86	java.lang.SecurityException	Unchecked	Java	false	false
okhttp-master	87	java.lang.ClassNotFoundException	Checked	Java	false	false
okhttp-master	88	java.lang.ClassNotFoundException	Checked	Java	false	false
okhttp-master	88	java.lang.NoSuchMethodException	Checked	Java	false	false
okhttp-master	89	java.lang.IllegalAccessException	Checked	Java	false	false
okhttp-master	89	java.lang.IllegalArgumentException	Unchecked	Java	false	false
okhttp-master	89	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
okhttp-master	90	java.lang.NoSuchMethodException	Checked	Java	false	false
okhttp-master	91	java.lang.NoSuchMethodException	Checked	Java	false	false
okhttp-master	92	java.lang.Exception	Checked	Java	false	false
okhttp-master	93	java.lang.ClassNotFoundException	Checked	Java	false	true
okhttp-master	94	java.lang.ClassNotFoundException	Checked	Java	false	false
okhttp-master	95	java.lang.ClassNotFoundException	Checked	Java	false	true
okhttp-master	96	java.lang.NoSuchMethodException	Checked	Java	false	false
okhttp-master	97	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
okhttp-master	98	java.lang.IllegalAccessException	Checked	Java	false	false
okhttp-master	99	java.lang.Exception	Checked	Java	false	true
okhttp-master	100	java.lang.Exception	Checked	Java	false	true
okhttp-master	101	java.lang.Exception	Checked	Java	false	false
okhttp-master	102	java.lang.IllegalAccessException	Checked	Java	false	false
okhttp-master	103	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
okhttp-master	104	java.lang.IllegalAccessException	Checked	Java	false	false
okhttp-master	104	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
okhttp-master	105	java.lang.IllegalAccessException	Checked	Java	false	false
okhttp-master	105	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
okhttp-master	106	java.lang.NoSuchMethodException	Checked	Java	false	true
okhttp-master	107	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
okhttp-master	107	java.lang.IllegalAccessException	Checked	Java	false	false
okhttp-master	108	java.lang.IllegalAccessException	Checked	Java	false	false
okhttp-master	108	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
okhttp-master	109	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
okhttp-master	109	java.lang.IllegalAccessException	Checked	Java	false	false
okhttp-master	110	java.lang.ClassNotFoundException	Checked	Java	false	true
okhttp-master	110	java.lang.NoSuchMethodException	Checked	Java	false	true
okhttp-master	111	java.lang.IllegalAccessException	Checked	Java	false	false
okhttp-master	112	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
okhttp-master	113	java.lang.IllegalAccessException	Checked	Java	false	false
okhttp-master	114	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
okhttp-master	115	java.lang.NoSuchMethodException	Checked	Java	false	true
okhttp-master	116	java.lang.ClassNotFoundException	Checked	Java	false	false
okhttp-master	117	java.lang.NoSuchFieldException	Checked	Java	false	true
okhttp-master	118	java.lang.IllegalAccessException	Checked	Java	false	false
okhttp-master	119	java.io.FileNotFoundException	Checked	Java	false	false
