EXCEPTION HIERARCHY
java.lang.Throwable
	java.lang.Exception
		java.io.IOException
		java.lang.InterruptedException
		java.lang.RuntimeException
			java.lang.IllegalArgumentException
				java.lang.NumberFormatException
			com.netflix.hystrix.exception.HystrixRuntimeException
			java.util.NoSuchElementException
			java.lang.SecurityException
			java.lang.ClassCastException
			java.lang.IllegalStateException
			java.lang.NullPointerException
Hystrix-master	58	java.lang.ClassNotFoundException	Checked	Java	false	false
Hystrix-master	59	java.lang.InstantiationException	Checked	Java	false	false
Hystrix-master	60	java.lang.IllegalAccessException	Checked	Java	false	false
Hystrix-master	61	java.lang.ClassCastException	Unchecked	Java	false	false
Hystrix-master	62	java.lang.ClassNotFoundException	Checked	Java	false	false
Hystrix-master	63	java.lang.InstantiationException	Checked	Java	false	false
Hystrix-master	64	java.lang.IllegalAccessException	Checked	Java	false	false
Hystrix-master	65	java.lang.Exception	Checked	Java	false	false
Hystrix-master	66	java.lang.Throwable	Checked	Java	false	false
Hystrix-master	67	java.lang.Exception	Checked	Java	false	false
Hystrix-master	68	java.lang.IllegalStateException	Unchecked	Java	false	false
Hystrix-master	69	java.lang.Exception	Checked	Java	false	false
Hystrix-master	70	java.lang.IllegalStateException	Unchecked	Java	false	false
Hystrix-master	71	java.lang.Throwable	Checked	Java	false	false
Hystrix-master	72	java.lang.Exception	Checked	Java	false	false
Hystrix-master	73	java.lang.Throwable	Checked	Java	false	false
Hystrix-master	74	java.lang.Throwable	Checked	Java	false	false
Hystrix-master	75	java.lang.Throwable	Checked	Java	false	false
Hystrix-master	76	java.lang.Throwable	Checked	Java	false	false
Hystrix-master	77	java.lang.NoSuchFieldError	Error	Java	false	false
Hystrix-master	78	java.lang.NoSuchFieldError	Error	Java	false	false
Hystrix-master	79	java.lang.NoSuchFieldError	Error	Java	false	false
Hystrix-master	80	java.lang.NoSuchFieldError	Error	Java	false	false
Hystrix-master	81	java.lang.NoSuchFieldError	Error	Java	false	false
Hystrix-master	82	java.lang.NoSuchFieldError	Error	Java	false	false
Hystrix-master	83	java.lang.Exception	Checked	Java	false	false
Hystrix-master	84	java.lang.Exception	Checked	Java	false	false
Hystrix-master	85	java.lang.Exception	Checked	Java	false	false
Hystrix-master	86	java.lang.Throwable	Checked	Java	false	false
Hystrix-master	87	java.lang.Exception	Checked	Java	false	false
Hystrix-master	88	java.lang.Exception	Checked	Java	false	false
Hystrix-master	89	java.lang.NoSuchFieldError	Error	Java	false	false
Hystrix-master	90	java.lang.NoSuchMethodException	Checked	Java	false	false
Hystrix-master	91	java.lang.ClassNotFoundException	Checked	Java	false	false
Hystrix-master	92	java.io.IOException	Checked	Java	false	false
Hystrix-master	93	java.lang.IllegalArgumentException	Unchecked	Java	false	false
Hystrix-master	94	java.lang.NullPointerException	Unchecked	Java	false	false
Hystrix-master	95	java.lang.IllegalArgumentException	Unchecked	Java	false	false
Hystrix-master	96	java.lang.NumberFormatException	Unchecked	Java	false	false
Hystrix-master	97	com.netflix.hystrix.contrib.javanica.exception.CommandActionExecutionException	Unchecked	System	false	false
Hystrix-master	98	java.lang.Throwable	Checked	Java	false	false
Hystrix-master	99	java.lang.Throwable	Checked	Java	false	false
Hystrix-master	100	com.netflix.hystrix.contrib.javanica.exception.CommandActionExecutionException	Unchecked	System	false	false
Hystrix-master	101	java.lang.Exception	Checked	Java	false	false
Hystrix-master	102	java.lang.IllegalArgumentException	Unchecked	Java	false	false
Hystrix-master	103	java.lang.IllegalArgumentException	Unchecked	Java	false	false
Hystrix-master	104	java.lang.IllegalArgumentException	Unchecked	Java	false	false
Hystrix-master	105	java.lang.IllegalAccessException	Checked	Java	false	false
Hystrix-master	106	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
Hystrix-master	107	java.lang.IllegalAccessException	Checked	Java	false	false
Hystrix-master	108	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
Hystrix-master	109	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
Hystrix-master	110	java.lang.Exception	Checked	Java	false	false
Hystrix-master	111	java.lang.Throwable	Checked	Java	false	false
Hystrix-master	112	java.lang.IllegalAccessException	Checked	Java	false	false
Hystrix-master	113	java.beans.IntrospectionException	Checked	Java	false	false
Hystrix-master	114	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
Hystrix-master	115	com.netflix.hystrix.exception.HystrixBadRequestException	Unchecked	System	false	false
Hystrix-master	116	com.netflix.hystrix.exception.HystrixRuntimeException	Unchecked	System	false	false


