PROJECT	EXCEPTION	TYPE	ORIGIN	HANDLERS	AUTOCOMPLETE	EMPTY
54	com.google.zxing.common.reedsolomon.ReedSolomonException	Checked	System	false	false
55	java.lang.IllegalArgumentException	Unchecked	Java	false	false
56	com.google.zxing.FormatException	Checked	System	false	false
56	com.google.zxing.ChecksumException	Checked	System	false	false
57	com.google.zxing.ChecksumException	Checked	System	false	true
58	com.google.zxing.FormatException	Checked	System	false	false
59	com.google.zxing.FormatException	Checked	System	false	false
60	com.google.zxing.FormatException	Checked	System	false	false
61	com.google.zxing.FormatException	Checked	System	false	false
62	com.google.zxing.ReaderException	Checked	System	false	true
63	com.google.zxing.ReaderException	Checked	System	false	true
64	com.google.zxing.NotFoundException	Checked	System	false	false
65	com.google.zxing.NotFoundException	Checked	System	false	false
66	com.google.zxing.ReaderException	Checked	System	false	true
67	com.google.zxing.ReaderException	Checked	System	false	false
68	com.google.zxing.ReaderException	Checked	System	false	true
69	com.google.zxing.FormatException	Checked	System	false	false
70	com.google.zxing.FormatException	Checked	System	false	false
71	com.google.zxing.NotFoundException	Checked	System	false	false
72	com.google.zxing.NotFoundException	Checked	System	false	true
73	com.google.zxing.NotFoundException	Checked	System	false	false
74	com.google.zxing.NotFoundException	Checked	System	false	true
75	com.google.zxing.NotFoundException	Checked	System	false	true
76	com.google.zxing.NotFoundException	Checked	System	false	false
77	com.google.zxing.NotFoundException	Checked	System	false	false
78	com.google.zxing.NotFoundException	Checked	System	false	true
79	com.google.zxing.NotFoundException	Checked	System	false	true
80	com.google.zxing.NotFoundException	Checked	System	false	true
81	com.google.zxing.NotFoundException	Checked	System	false	true
82	com.google.zxing.ReaderException	Checked	System	false	false
83	com.google.zxing.ReaderException	Checked	System	false	true
84	com.google.zxing.ReaderException	Checked	System	false	true
85	com.google.zxing.common.reedsolomon.ReedSolomonException	Checked	System	false	false
86	java.io.UnsupportedEncodingException	Checked	Java	false	false
87	com.google.zxing.common.reedsolomon.ReedSolomonException	Checked	System	false	false
88	java.lang.ArrayIndexOutOfBoundsException	Unchecked	Java	false	false
89	java.text.ParseException	Checked	Java	false	false
90	java.text.ParseException	Checked	Java	false	false
