PROJECT	EXCEPTION	TYPE	ORIGIN	HANDLERS	AUTOCOMPLETE	EMPTY
80	java.lang.IllegalAccessException	Checked	Java	false	false
81	java.io.IOException	Checked	Java	false	false
82	java.lang.ClassNotFoundException	Checked	Java	false	false
83	java.lang.Throwable	Checked	Java	false	false
84	java.lang.Throwable	Checked	Java	false	false
85	java.lang.NullPointerException	Unchecked	Java	false	true
86	java.lang.NullPointerException	Unchecked	Java	false	true
87	java.lang.RuntimeException	Unchecked	Java	false	false
88	junit.framework.AssertionFailedError	Error	Library	false	false
89	java.lang.RuntimeException	Unchecked	Java	false	false
90	com.google.common.collect.testing.AbstractIteratorTester.PermittedMetaException	Unchecked	System	false	false
91	com.google.common.collect.testing.AbstractIteratorTester.UnknownElementException	Unchecked	System	false	false
92	java.lang.NullPointerException	Unchecked	Java	false	true
93	java.lang.NullPointerException	Unchecked	Java	false	true
94	java.lang.IllegalArgumentException	Unchecked	Java	false	false
95	com.google.common.collect.testing.features.ConflictingRequirementsException	Checked	System	false	false
96	java.lang.Exception	Checked	Java	false	false
97	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
98	java.lang.Exception	Checked	Java	false	false
99	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
100	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
101	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
102	java.lang.ClassCastException	Unchecked	Java	false	true
103	java.lang.NullPointerException	Unchecked	Java	false	true
104	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
105	java.lang.NullPointerException	Unchecked	Java	false	true
106	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
107	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
108	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
109	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
110	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
111	java.lang.ClassCastException	Unchecked	Java	false	true
112	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
113	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
114	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
115	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
116	java.lang.NullPointerException	Unchecked	Java	false	false
117	java.lang.NullPointerException	Unchecked	Java	false	false
118	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
119	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
120	java.lang.IllegalStateException	Unchecked	Java	false	true
121	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
122	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
123	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
124	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
125	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
126	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
127	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
128	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
129	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
130	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
131	java.lang.NullPointerException	Unchecked	Java	false	false
132	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
133	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
134	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
135	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
136	java.lang.NullPointerException	Unchecked	Java	false	true
137	java.lang.NullPointerException	Unchecked	Java	false	true
138	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
139	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
140	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
141	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
142	java.lang.NullPointerException	Unchecked	Java	false	true
143	java.lang.NullPointerException	Unchecked	Java	false	true
144	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
145	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
146	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
147	java.lang.NullPointerException	Unchecked	Java	false	true
148	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
149	java.lang.NullPointerException	Unchecked	Java	false	true
150	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
151	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
152	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
153	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
154	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
155	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
156	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
157	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
158	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
159	java.lang.NullPointerException	Unchecked	Java	false	true
160	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
161	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
162	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
163	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
164	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
165	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
166	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
167	java.lang.RuntimeException	Unchecked	Java	false	true
168	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
169	java.lang.RuntimeException	Unchecked	Java	false	true
170	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
171	java.lang.RuntimeException	Unchecked	Java	false	true
172	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
173	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
174	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
175	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
176	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
177	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
178	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
179	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
180	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
181	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
182	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
183	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
184	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
185	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
186	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
187	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
188	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
189	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
190	java.lang.NullPointerException	Unchecked	Java	false	true
191	java.lang.NullPointerException	Unchecked	Java	false	true
192	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
193	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
194	java.lang.NullPointerException	Unchecked	Java	false	true
195	java.lang.NullPointerException	Unchecked	Java	false	true
196	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
197	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
198	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
199	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
200	java.lang.IllegalStateException	Unchecked	Java	false	true
201	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
202	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
203	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
204	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
205	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
206	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
207	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
208	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
209	java.lang.NullPointerException	Unchecked	Java	false	true
210	java.lang.NullPointerException	Unchecked	Java	false	true
211	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
212	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
213	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
214	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
215	java.lang.NullPointerException	Unchecked	Java	false	true
216	java.lang.NullPointerException	Unchecked	Java	false	true
217	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
218	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
219	java.io.IOException	Checked	Java	false	false
220	java.lang.ClassNotFoundException	Checked	Java	false	false
221	java.lang.NullPointerException	Unchecked	Java	false	false
222	java.lang.ClassCastException	Unchecked	Java	false	false
223	java.lang.NullPointerException	Unchecked	Java	false	false
224	java.lang.ClassCastException	Unchecked	Java	false	false
225	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
226	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
227	java.lang.IllegalArgumentException	Unchecked	Java	false	true
228	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
229	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
230	java.lang.NullPointerException	Unchecked	Java	false	true
231	java.lang.ClassCastException	Unchecked	Java	false	true
232	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
233	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
234	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
235	java.util.ConcurrentModificationException	Unchecked	Java	false	true
236	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
237	java.lang.NullPointerException	Unchecked	Java	false	true
238	java.lang.NullPointerException	Unchecked	Java	false	true
239	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
240	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
241	java.lang.NullPointerException	Unchecked	Java	false	true
242	java.util.ConcurrentModificationException	Unchecked	Java	false	true
243	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
244	java.lang.UnsupportedOperationException	Unchecked	Java	false	true
245	java.util.ConcurrentModificationException	Unchecked	Java	false	true
246	java.lang.NullPointerException	Unchecked	Java	false	true
247	java.lang.ClassCastException	Unchecked	Java	false	true
248	java.lang.ClassCastException	Unchecked	Java	false	true
249	java.lang.NullPointerException	Unchecked	Java	false	true
250	java.util.NoSuchElementException	Unchecked	Java	false	true
