PROJECT	EXCEPTION	TYPE	ORIGIN	HANDLERS	AUTOCOMPLETE	EMPTY
spring-framework-master	java.lang.reflect.UndeclaredThrowableException	Unchecked	Java	1	0	0
spring-framework-master	javax.validation.ValidationException	Unchecked	Java	4	0	1
spring-framework-master	java.util.EmptyStackException	Unchecked	Java	1	0	0
spring-framework-master	org.springframework.cache.interceptor.CacheOperationInvoker.ThrowableWrapper	Unchecked	System	6	0	0
spring-framework-master	java.lang.SecurityException	Unchecked	Java	4	0	1
spring-framework-master	java.security.AccessControlException	Unchecked	Java	5	0	0
spring-framework-master	org.springframework.expression.spel.InternalParseException	Unchecked	System	1	0	0
spring-framework-master	org.springframework.expression.EvaluationException	Unchecked	System	3	0	0
spring-framework-master	org.springframework.cache.interceptor.VariableNotAvailableException	Unchecked	System	1	0	1
spring-framework-master	org.springframework.expression.spel.SpelEvaluationException	Unchecked	System	11	0	0
spring-framework-master	javax.persistence.PersistenceException	Unchecked	Library	5	0	0
spring-framework-master	javax.persistence.RollbackException	Unchecked	Library	1	0	0
spring-framework-master	javax.persistence.TransactionRequiredException	Unchecked	Library	2	0	0
spring-framework-master	java.lang.IndexOutOfBoundsException	Unchecked	Java	3	0	0
spring-framework-master	java.lang.StringIndexOutOfBoundsException	Unchecked	Java	1	0	0
spring-framework-master	org.springframework.transaction.interceptor.TransactionAspectSupport.ThrowableHolderException	Unchecked	System	1	0	0
spring-framework-master	java.time.format.DateTimeParseException	Unchecked	Java	4	0	4
spring-framework-master	javax.xml.ws.WebServiceException	Unchecked	Java	1	0	0
spring-framework-master	javax.xml.ws.ProtocolException	Unchecked	Java	1	0	0
spring-framework-master	javax.xml.ws.soap.SOAPFaultException	Unchecked	Java	1	0	0
spring-framework-master	java.util.concurrent.RejectedExecutionException	Unchecked	Java	28	0	0
spring-framework-master	org.springframework.core.task.TaskRejectedException	Unchecked	System	1	0	0
spring-framework-master	org.springframework.core.task.TaskTimeoutException	Unchecked	System	1	0	0
spring-framework-master	java.lang.NullPointerException	Unchecked	Java	7	0	1
spring-framework-master	java.lang.ClassCastException	Unchecked	Java	4	0	2
spring-framework-master	org.springframework.context.NoSuchMessageException	Unchecked	System	3	0	0
spring-framework-master	java.lang.IllegalStateException	Unchecked	Java	28	0	8
spring-framework-master	org.springframework.beans.factory.support.ImplicitlyAppearedSingletonException	Unchecked	System	1	0	0
spring-framework-master	org.springframework.web.socket.handler.SessionLimitExceededException	Unchecked	System	3	0	1
spring-framework-master	java.lang.UnsupportedOperationException	Unchecked	Java	4	0	0
spring-framework-master	java.lang.IllegalArgumentException	Unchecked	Java	48	0	5
spring-framework-master	org.springframework.aop.framework.adapter.UnknownAdviceTypeException	Unchecked	System	1	0	0
spring-framework-master	java.nio.charset.UnsupportedCharsetException	Unchecked	Java	1	0	0
spring-framework-master	org.springframework.util.InvalidMimeTypeException	Unchecked	System	2	0	0
spring-framework-master	java.util.regex.PatternSyntaxException	Unchecked	Java	2	0	0
spring-framework-master	java.lang.NumberFormatException	Unchecked	Java	18	0	1
spring-framework-master	org.springframework.http.InvalidMediaTypeException	Unchecked	System	11	0	4
spring-framework-master	org.springframework.jmx.access.MBeanConnectFailureException	Unchecked	System	1	0	0
spring-framework-master	org.springframework.jmx.MBeanServerNotFoundException	Unchecked	System	1	0	0
spring-framework-master	org.springframework.remoting.RemoteConnectFailureException	Unchecked	System	3	0	0
spring-framework-master	org.springframework.mail.MailException	Unchecked	System	1	0	0
spring-framework-master	org.springframework.jdbc.CannotGetJdbcConnectionException	Unchecked	System	1	0	0
spring-framework-master	org.springframework.jms.JmsException	Unchecked	System	6	0	0
spring-framework-master	org.springframework.transaction.TransactionException	Unchecked	System	3	0	0
spring-framework-master	org.springframework.transaction.TransactionSystemException	Unchecked	System	3	0	0
spring-framework-master	org.springframework.transaction.UnexpectedRollbackException	Unchecked	System	1	0	0
spring-framework-master	org.springframework.oxm.XmlMappingException	Unchecked	System	2	0	0
spring-framework-master	org.springframework.oxm.MarshallingFailureException	Unchecked	System	1	0	0
spring-framework-master	org.springframework.oxm.UnmarshallingFailureException	Unchecked	System	1	0	0
spring-framework-master	org.springframework.http.converter.HttpMessageNotReadableException	Unchecked	System	1	0	0
spring-framework-master	org.springframework.web.server.UnsupportedMediaTypeStatusException	Unchecked	System	1	0	0
